Initializing camera...
Camera initialized
Attempting to start camera capture feed...
Camera capture started successfully
Marker A1: [361, 185], 2017-06-27 19:34:21.607744
Marker A6: [306, 406], 2017-06-27 19:34:21.636509
Marker A5: [567, 405], 2017-06-27 19:34:21.636766
Marker A4: [90, 334], 2017-06-27 19:34:21.636893
Marker A3: [390, 315], 2017-06-27 19:34:21.636994
Marker A2: [245, 275], 2017-06-27 19:34:21.637088
Marker A1: [337, 182], 2017-06-27 19:34:21.637186
Marker A6: [292, 402], 2017-06-27 19:34:21.668188
Marker A5: [552, 400], 2017-06-27 19:34:21.668400
Marker A4: [75, 330], 2017-06-27 19:34:21.668517
Marker A3: [374, 311], 2017-06-27 19:34:21.668623
Marker A2: [230, 271], 2017-06-27 19:34:21.668721
Marker A1: [320, 178], 2017-06-27 19:34:21.668814
Marker A6: [276, 404], 2017-06-27 19:34:21.700741
Marker A5: [534, 403], 2017-06-27 19:34:21.700927
Marker A4: [57, 333], 2017-06-27 19:34:21.701045
Marker A3: [358, 313], 2017-06-27 19:34:21.701145
Marker A2: [214, 273], 2017-06-27 19:34:21.701238
Marker A1: [305, 180], 2017-06-27 19:34:21.701333
Marker A6: [268, 409], 2017-06-27 19:34:21.734115
Marker A5: [527, 408], 2017-06-27 19:34:21.734383
Marker A4: [49, 338], 2017-06-27 19:34:21.734516
Marker A3: [350, 318], 2017-06-27 19:34:21.734614
Marker A2: [205, 279], 2017-06-27 19:34:21.734709
Marker A1: [296, 185], 2017-06-27 19:34:21.734808
Marker A6: [278, 410], 2017-06-27 19:34:21.766882
Marker A5: [537, 409], 2017-06-27 19:34:21.767119
Marker A4: [59, 338], 2017-06-27 19:34:21.767241
Marker A3: [360, 319], 2017-06-27 19:34:21.767343
Marker A2: [215, 279], 2017-06-27 19:34:21.767447
Marker A1: [305, 185], 2017-06-27 19:34:21.767542
Marker A6: [291, 409], 2017-06-27 19:34:21.798307
Marker A5: [551, 408], 2017-06-27 19:34:21.798547
Marker A4: [73, 337], 2017-06-27 19:34:21.798685
Marker A3: [373, 318], 2017-06-27 19:34:21.798789
Marker A2: [228, 278], 2017-06-27 19:34:21.798888
Marker A1: [318, 185], 2017-06-27 19:34:21.798986
Marker A6: [307, 405], 2017-06-27 19:34:21.828270
Marker A5: [568, 405], 2017-06-27 19:34:21.828467
Marker A4: [91, 333], 2017-06-27 19:34:21.828583
Marker A3: [389, 314], 2017-06-27 19:34:21.828679
Marker A2: [245, 274], 2017-06-27 19:34:21.828771
Marker A1: [335, 181], 2017-06-27 19:34:21.828866
Marker A6: [308, 404], 2017-06-27 19:34:21.873692
Marker A5: [568, 403], 2017-06-27 19:34:21.873881
Marker A4: [91, 331], 2017-06-27 19:34:21.873997
Marker A3: [390, 313], 2017-06-27 19:34:21.874096
Marker A2: [245, 273], 2017-06-27 19:34:21.874190
Marker A1: [336, 179], 2017-06-27 19:34:21.874285
Marker A6: [308, 406], 2017-06-27 19:34:21.905716
Marker A5: [569, 406], 2017-06-27 19:34:21.905958
Marker A4: [91, 334], 2017-06-27 19:34:21.906083
Marker A3: [390, 315], 2017-06-27 19:34:21.906181
Marker A2: [246, 275], 2017-06-27 19:34:21.906278
Marker A1: [336, 182], 2017-06-27 19:34:21.906379
Marker A6: [315, 402], 2017-06-27 19:34:21.937313
Marker A5: [576, 402], 2017-06-27 19:34:21.937534
Marker A4: [98, 330], 2017-06-27 19:34:21.937653
Marker A3: [397, 311], 2017-06-27 19:34:21.937751
Marker A2: [253, 272], 2017-06-27 19:34:21.937850
Marker A1: [343, 178], 2017-06-27 19:34:21.937948
Marker A6: [312, 405], 2017-06-27 19:34:21.966418
Marker A5: [573, 405], 2017-06-27 19:34:21.966673
Marker A4: [96, 333], 2017-06-27 19:34:21.966798
Marker A3: [395, 314], 2017-06-27 19:34:21.966896
Marker A2: [250, 274], 2017-06-27 19:34:21.966996
Marker A1: [341, 180], 2017-06-27 19:34:21.967092
Marker A6: [305, 412], 2017-06-27 19:34:21.997521
Marker A5: [565, 411], 2017-06-27 19:34:21.997720
Marker A4: [87, 340], 2017-06-27 19:34:21.997840
Marker A3: [387, 321], 2017-06-27 19:34:21.997946
Marker A2: [242, 280], 2017-06-27 19:34:21.998047
Marker A1: [333, 187], 2017-06-27 19:34:21.998144
Marker A6: [312, 410], 2017-06-27 19:34:22.028727
Marker A5: [573, 410], 2017-06-27 19:34:22.028917
Marker A4: [95, 338], 2017-06-27 19:34:22.029031
Marker A3: [394, 320], 2017-06-27 19:34:22.029127
Marker A2: [249, 280], 2017-06-27 19:34:22.029221
Marker A1: [339, 186], 2017-06-27 19:34:22.029314
Marker A6: [323, 408], 2017-06-27 19:34:22.072801
Marker A5: [585, 409], 2017-06-27 19:34:22.074947
Marker A4: [107, 336], 2017-06-27 19:34:22.075349
Marker A3: [406, 318], 2017-06-27 19:34:22.075550
Marker A2: [261, 277], 2017-06-27 19:34:22.075757
